,1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
20424,2023,46952CNTRL2955W,110030482047.0,CENTRAL INDIANA ETHANOL LLC,2955 W DELPHI PIKE,MARION,GRANT,IN,46952,,,40.56492,-85.72772,NAD83,,,CENTRAL INDIANA ETHANOL LLC,,,,NO,325,Chemicals,,,,,,,325193,,,,,,1323222125142,Formaldehyde,NO,0000050000,50-00-0,1008.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,11.75,368.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.07,0.0,0.0,380.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.07,,PRODUCTION,1.11
20430,2023,47405GLPCH320SW,110041978535.0,ASHLEY INDUSTRIAL MOLDING INC,310 S WABASH AVE,ASHLEY,DEKALB,IN,46705,,,41.52404,-85.069961,NAD83,ASHLEY INDUSTRIAL MOLDING INC,98647266.0,ASHLEY INDUSTRIAL MOLDING INC,,,,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1323222323230,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,4500.0,0.0,0.0,90.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,,PRODUCTION,0.84
20496,2023,47711HRTLN2504L,110000493877.0,ORG CHEM GROUP LLC,2410 LYNCH RD,EVANSVILLE,VANDERBURGH,IN,47711,,,38.0134,-87.52047,NAD83,ORG CHEM GROUP LLC,,ORG CHEM GROUP LLC,,,,NO,325,Chemicals,,,,,,,325998,,,,,,1323222296194,Sodium nitrite,NO,0007632000,7632-00-0,152058.0,NO,TRI,NO,Individually-listed compounds that contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614939.0,0.0,0.0,0.0,4614939.0,,PRODUCTION,1.35
20529,2023,4635WPRRPC7277S,110054183904.0,PRAIRIE PACKAGING LLC,7277 S 2ND RD PLANT # 3,KINGSBURY,LAPORTE,IN,46350,,,41.50536,-86.66187,NAD83,ACID PRODUCTS CO INC,148314503.0,ACID PRODUCTS CO INC,,,,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323221848930,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ACTIVITY,1.0
20553,2023,46573HLDYR400IN,110041966147.0,THOR WAKARUSA LLC,400 INDIANA AVE,WAKARUSA,ELKHART,IN,46573,,,41.530981,-86.015041,NAD83,THOR INDUSTRIES INC,,THOR INDUSTRIES INC,,,,NO,336,Transportation Equipment,,,,,,,336213,336214.0,,,,,1323221577620,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,PRODUCTION,0.68
20633,2023,47274SNSMN5BURK,110022922970.0,AISIN USA MANUFACTURING INC. PLANT II,500 BURKART BLVD,SEYMOUR,JACKSON,IN,47274,,,38.970929,-85.871635,NAD83,AISIN HOLDINGS OF AMERICA,121400014.0,AISIN HOLDINGS OF AMERICA INC,,,AISIN CORP,NO,336,Transportation Equipment,,,,,,,336390,,,,,,1323222159840,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,10506.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10506.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,10506.74,0.0,0.0,10506.74,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,11114.74,,PRODUCTION,1.17
20649,2023,4694WHTNCX5WCLI,110003084224.0,HTI INC.,500 W. CLINTON ST.,LOGANSPORT,CASS,IN,46947,,,40.73613,-86.38265,NAD83,MATERIALS PROCESSING INC,40276248.0,MATERIALS PROCESSING INC,,,,NO,332,Fabricated Metals,,,,,,,332811,,,,,,1323221762774,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
20663,2023,4762WMRTHN129SB,110032894893.0,MPLX TERMINALS LLC - MT VERNON LP TERMINAL,129 BARTER ST,MOUNT VERNON,POSEY,IN,47620,,,37.926111,-87.911917,NAD83,MARATHON PETROLEUM CORP,968393996.0,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221799099,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,57.0,0.0,0.0,52.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,91.0,,PRODUCTION,0.96
20708,2023,4762WMRTHN129SB,110032894893.0,MPLX TERMINALS LLC - MT VERNON LP TERMINAL,129 BARTER ST,MOUNT VERNON,POSEY,IN,47620,,,37.926111,-87.911917,NAD83,MARATHON PETROLEUM CORP,968393996.0,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221799442,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,26.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,661.0,0.0,0.0,646.0,12.0,3.0,0.0,57.0,0.0,0.0,0.0,0.0,718.0,,PRODUCTION,0.96
20738,2023,47446LHGHP121NO,110043798744.0,HEIDELBERG MATERIALS US CEMENT LLC,200 MILL CREEK RD,MITCHELL,LAWRENCE,IN,47446,,,38.739074,-86.45703,NAD83,HEIDELBERG MATERIALS US INC,967342197.0,HEIDELBERG MATERIALS US INC,HEIDELBERG MATERIALS,,HEIDELBERG MATERIALS,NO,327,Nonmetallic Mineral Product,,,,,,,327310,,,,,,1323222076465,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,12993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12993.0,0.0,0.0,12993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12993.0,,PRODUCTION,1.83
20749,2023,46218MJRTL1458E,110000397053.0,MAJOR TOOL & MACHINE INC.,1458 E 19TH ST,INDIANAPOLIS,MARION,IN,46218,,,39.79217,-86.13363,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332710,,,,,,1323221943475,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15654.0,0.0,0.0,0.0,15654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15654.0,0.0,0.0,15654.0,,PRODUCTION,1.06
20775,2023,4771WMRTHN25BRA,110001235306.0,MPLX TERMINALS LLC - EVANSVILLE IN,2500 BROADWAY,EVANSVILLE,VANDERBURGH,IN,47712,,,37.97097,-87.60349,NAD83,MARATHON PETROLEUM CORP,968393996.0,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221799568,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,12040.0,,PRODUCTION,0.97
20825,2023,4614WHNGRB165WE,110045465420.0,HANGER BOLT & STUD CO,165 W NEW RD,GREENFIELD,HANCOCK,IN,46140,,,39.81401,-85.7725,NAD83,,,HANGER BOLT & STUD CO,,,,NO,332,Fabricated Metals,,,,,,,332722,331222.0,,,,,1323221669219,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PRODUCTION,1.0
20868,2023,47905LLLLYLILLY,110000404296.0,EVONIK CORP TIPPECANOE LABORATORIES,1650 LILLY RD,LAFAYETTE,TIPPECANOE,IN,47909,,,40.390544,-86.936174,NAD83,EVONIK CORP,68209295.0,EVONIK CORP,RAG-STIFTUNG,312625019.0,RAG-STIFTUNG,NO,325,Chemicals,,,,,,,325411,325412.0,325414.0,,,,1323222014387,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,342.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,170545.0,0.0,170921.0,,PRODUCTION,2.22
20872,2023,46755HNDRC101SP,110000400628.0,HENDRICKSON TRUCK SUSPENSION S YSTEMS PLANT 1,101 S PROGRESS DR W,KENDALLVILLE,NOBLE,IN,46755,,,41.443977,-85.223721,NAD83,THE BOLER CO,,THE BOLER CO,,,,NO,336,Transportation Equipment,,,,,,,336330,,,,,,1323222162137,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439.0,13439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439.0,0.0,0.0,13439.0,,ACTIVITY,0.89
20902,2023,46312NLNDS3210W,110066942526.0,CLEVELAND-CLIFFS STEEL LLC,3210 WATLING ST MAIL CODE (8-130),EAST CHICAGO,LAKE,IN,46312,,,41.656321,-87.450142,NAD83,CLEVELAND-CLIFFS INC,147964571.0,CLEVELAND-CLIFFS INC,,,,NO,331,Primary Metals,,,,,,,331110,,,,,,1323222181176,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,,PRODUCTION,1.01
20938,2023,46783GMCTR12200,110000792786.0,GM TRUCK GROUP FORT WAYNE ASSEMBLY,12200 LAFAYETTE CENTER RD,ROANOKE,ALLEN,IN,46783,,,40.964311,-85.302752,NAD83,GENERAL MOTORS LLC,831247536.0,GENERAL MOTORS LLC,,,,NO,336,Transportation Equipment,,,,,,,336110,,,,,,1323221818836,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,,PRODUCTION,0.93
20944,2023,4673WPRSTR7855N,110063999268.0,PRESTRESS SERVICES INDUSTRIES LLC - DECATUR BRANCH,7855 NW WINCHESTER RD,DECATUR,ADAMS,IN,46733,,,40.85818,-84.95843,NAD83,,,PRESTRESS SERVICES INDUSTRIES LLC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327390,,,,,,1323221538390,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356.0,3356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356.0,0.39,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,3356.0,0.0,0.0,3356.39,,ACTIVITY,0.95
20965,2023,46304BTHLHBURNS,110000607558.0,CLEVELAND-CLIFFS BURNS HARBOR LLC,250 W US HWY 12,BURNS HARBOR,PORTER,IN,46304,,,41.634,-87.131,NAD83,CLEVELAND-CLIFFS INC,147964571.0,CLEVELAND-CLIFFS INC,,,,NO,331,Primary Metals,,,,,,,331110,,,,,,1323222217046,Copper  And Copper Compounds,YES,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,7.0,6.0,1623.0,0.0,629.0,0.0,0.0,0.0,30591.0,0.0,0.0,0.0,0.0,0.0,32856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8972.51,0.0,0.0,0.0,0.0,0.0,0.0,8972.51,0.0,43.0,0.6,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9016.11,41828.51,0.0,31220.0,1636.0,8972.51,0.0,0.0,0.0,0.0,43.6,0.0,0.0,41872.11,,PRODUCTION,1.17
20979,2023,47331RCLMD1500W,110000498809.0,RECLAIMED ENERGY DIV SUPERIOR INDUSTRIAL SOLUTIONS IN,1500 WESTERN AVE,CONNERSVILLE,FAYETTE,IN,47331,,,39.65162,-85.13884,NAD83,SUPERIOR INDUSTRIAL SOLUTIONS INC,39994975.0,SUPERIOR INDUSTRIAL SOLUTIONS INC,,,,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1323222105468,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,103.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,1411.0,0.0,0.0,0.0,0.0,0.0,0.0,138169.0,0.0,138169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139580.0,1550.0,0.0,0.0,139.0,0.0,1411.0,0.0,138169.0,264623.0,0.0,702.0,0.0,405044.0,,PRODUCTION,1.0
20996,2023,46953HRTSN522W2,110000401583.0,HARTSON-KENNEDY INC,522 W 22ND ST,MARION,GRANT,IN,46953,,,40.5414,-85.6672,NAD83,HARTSON KENNEDY INC,6054779.0,HARTSON KENNEDY INC,,,,NO,337,Furniture,,,,,,,337110,,,,,,1323221580386,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,31799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31799.0,0.0,0.0,31799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31799.0,,PRODUCTION,0.97
21007,2023,4662WMDNRH171NS,110071711752.0,MODINEER - HOOSIER TANK,1710 N SHERIDAN ST,SOUTH BEND,ST JOSEPH,IN,46628,,,41.697838,-86.302324,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332313,,,,,,1323222309332,Aluminum (fume or dust),NO,0007429905,7429-90-5,149476.0,NO,TRI,NO,Metals with qualifiers,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16294.0,0.0,0.0,0.0,16294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16294.0,0.0,0.0,16294.0,,,
21029,2023,47302MXNCR201E1,110000402500.0,MAXON CORP,201 E 18TH ST,MUNCIE,DELAWARE,IN,47302,,,40.17237,-85.38412,NAD83,HONEYWELL INTERNATIONAL INC,139691877.0,HONEYWELL INTERNATIONAL INC,,,,NO,333,Machinery,,,,,,,333414,,,,,,1323221952777,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,42.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111745.0,0.0,0.0,0.0,111745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111745.0,42.87,0.0,0.0,42.87,0.0,0.0,0.0,0.0,0.0,111745.0,0.0,0.0,111787.87,,PRODUCTION,1.0
