MASTER_AI_ID,FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,REGULATORY_PROGRAM,CLOSURE_TYPE,CONTROL_TYPE,IC_ID,INSTRUMENT_ID,DATE_IC_RECORDED,CONTROL_METHOD,AFFECTED_MEDIA,CONSTITUENTS_OF_CONCERN,RESTRICTION_COVERAGE,Terminated_Date,IC_VFC_ID,VFC_URL
6956,4960018,Bowser Pump Plant,2314 Bowser Ave - 2514 Reed St,Fort Wayne,Allen County,Brownfields,BFF Site Status Letter 7/31/2001,Environmental Restrictive Covenant,1397,,27-Nov-02,Soil or Vegetative Cap,Subsurface Soil; Surface Soil,Metals,Entire Property,,39011325,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=39011325
6956,4960018,Bowser Pump Plant,2314 Bowser Ave - 2514 Reed St,Fort Wayne,Allen County,Brownfields,BFF Site Status Letter 7/31/2001,Environmental Restrictive Covenant,1398,,27-Nov-02,Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,38862614,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=38862614
6956,4960018,Bowser Pump Plant,2314 Bowser Ave - 2514 Reed St,Fort Wayne,Allen County,Brownfields,BFF Site Status Letter 7/31/2001,Environmental Restrictive Covenant,1398,,27-Nov-02,Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,38862614,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=38862614
7003,6000901,LEES INN,1245 W SR 32,Lebanon,Boone County,VRP,VRP Certificate of Completion 1/31/2011,Environmental Restrictive Covenant,69,2.011E+11,14-Jan-11,Ground Water Use Restriction; Residential Use Restriction,Ground Water,Petroleum,Portion of Property,,60348442,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=60348442
7006,199812053,Star Financial Bank,4009 N Wheeling Ave,Muncie,Delaware County,State Cleanup,SCS Other-Specify 4/7/2009,Environmental Restrictive Covenant,856,2009R17412,23-Jul-09,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property,,64639586,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=64639586
7007,199912061,James Medical Corporation,1801 Lake Ave,Fort Wayne,Allen County,State Cleanup,SCS No Further Action 6/14/2007,Environmental Restrictive Covenant,879,207020709,13-Apr-07,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; SVOCs - Semi Volatile Organic Compounds,Entire Property; Portion of Property,,42400811,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=42400811
7012,6040406,Commercial Logistics Corporation,400 Missouri Ave,Jeffersonville,Clark County,VRP,VRP Certificate of Completion 10/6/2009,Environmental Restrictive Covenant,914,1088; 200910353,16-Jun-09,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Inorganic Non-Metallic; TPH - Total Petroleum Hydrocarbons,Portion of Property,,51045783,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=51045783
7052,200309042,Robert L Montgomery,3000 N WHEELING AVE,Muncie,Delaware County,State Cleanup,SCS Other-Specify 12/19/2013,Environmental Restrictive Covenant,1402,,12-Nov-13,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property; Portion of Property,,69309480,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=69309480
7079,200208260,Fred Ginther Property,3510 E McGallard Ave,Muncie,Delaware County,State Cleanup,SCS No Further Action 1/12/2007,Environmental Restrictive Covenant,880,2006R26681,20-Dec-06,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Metals,Entire Property; Portion of Property,,49988599,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=49988599
7091,6980703,INDIANA GAS MANUFACTURED GAS PLANT,570 PINKLEY ST,Brazil,Clay County,VRP,VRP Certificate of Completion 3/9/2001,Deed Notice,1105,2.001E+11,19-Apr-01,Residential Use Restriction,Subsurface Soil; Surface Soil,Metals; Other; PAH - Polynuclear Aromatic Hydrocarbons; Petroleum,Entire Property,,40743528,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=40743528
7092,6971201,FORMER WELCH OIL SITE,133 Franklin St,Aurora,Dearborn County,Voluntary Remediation Program,Certificate of Completion,Deed Notice,1020,2E+11,15-Nov-00,Residential Use Restriction,SubSurface Soil; Surface Soil,Metals - Inorganic; PAH - Polynuclear Aromatic Hydrocarbons; Petroleum (Includes BTEX and MTBE),Entire Property,,66618375,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66618375
7096,6970509,Fort Wayne Terminal,Hartzell Rd & Nelson Rd,New Haven,Allen County,VRP,VRP Certificate of Completion 6/14/2000,Deed Notice,703,200062132,09-Oct-00,Residential Use Restriction,Subsurface Soil; Surface Soil,Pesticides (Herb/Fung/Insecticides),Entire Property,,66651757,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66651757
7098,6951201,LOX EQUIPMENT COMPANY,9701 SR 25 N,Delphi,Carroll County,Voluntary Remediation Program,Certificate of Completion,Deed Notice,1003,9834122,14-Dec-98,Residential Use Restriction,Ground Water; SubSurface Soil; Surface Soil,Metals - Inorganic; SVOC - Semi Volatile Organic Compounds; TPH - Total Petroleum Hydrocarbons; VOC - Volatile Organic Compounds,Entire Property,,48385216,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=48385216
7101,6000803,Lebanon Manufactured Gas Plant,515 S East St,Lebanon,Boone County,VRP,VRP Certificate of Completion 11/13/2012,Environmental Restrictive Covenant,512,2.012E+11,12-Apr-12,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; PAH - Polynuclear Aromatic Hydrocarbons; Petroleum,Entire Property,,66636937,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66636937
7103,6051103,GLENBROOK COMMONS,4122 LIMA RD,Fort Wayne,Allen County,VRP,VRP No Further Action 12/17/2010,Environmental Restrictive Covenant,212,2010062834; 204047723,14-Dec-10,Paved or Concrete Cap; Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Subsurface Soil; Surface Soil,Metals,Entire Property; Portion of Property,,59893057,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=59893057
7113,6031011,WASHINGTON FORMER MANUFACTURED GAS PLANT,301 E OAK ST,Washington,Daviess County,VRP,VRP Certificate of Completion 3/13/2012,Environmental Restrictive Covenant,1407,,23-Dec-10,Paved or Concrete Cap; Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; PAH - Polynuclear Aromatic Hydrocarbons; Petroleum,Entire Property; Portion of Property,,65130047,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65130047
7114,6020121,Morrill Motors,3685 Lima Rd,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 4/12/2013,Environmental Restrictive Covenant,804,2012060043,19-Oct-12,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,67452449,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=67452449
7115,6970305,Fish Creek Norco,CR 18 & CR 75 .19 MI W,Butler,De Kalb County,VRP,VRP Certificate of Completion 2/2/2010,Environmental Restrictive Covenant,841,10/15/2009,15-Oct-09,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,PAH - Polynuclear Aromatic Hydrocarbons; TPH - Total Petroleum Hydrocarbons,Portion of Property,,53083041,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=53083041
7149,6061204,Hercules Machinery Corporation,5025 New Haven Ave,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 6/23/2011,Environmental Restrictive Covenant,68,2011017634,22-Apr-11,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,62194382,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=62194382
7158,3232,Essroc Materials Incorporated,301 US Hwy 31,Sellersburg,Clark County,UST,LUS No Further Action 9/21/2016,Environmental Restrictive Covenant,1410,,17-Aug-16,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Portion of Property,,80362449,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80362449
7158,3232,Essroc Materials RWS,301 US Hwy 31,Sellersburg,Clark County,UST,LUS No Further Action 9/21/2016,Environmental Restrictive Covenant,1410,,17-Aug-16,Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Portion of Property,,80362449,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80362449
7199,14872,Broadway Express,1923 BROADWAY ST,Fort Wayne,Allen County,UST,LUS No Further Action 1/19/2016,Environmental Restrictive Covenant,1412,,21-Dec-15,Ground Water Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,80209521,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80209521
7267,7500016,Fort Wayne Reduction Dump,5225 Maumee Rd,Fort Wayne,Allen County,Superfund,SUP Other-Specify 8/26/1988,Deed Notice,1414,,29-May-02,Interceptor Wells or Trench;  Soil or Vegetative Cap; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil,Metals; Other; PAH - Polynuclear Aromatic Hydrocarbons; PCB - Polychlorinated Byphenols; VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,49717049,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=49717049
7267,7500016,Fort Wayne Reduction Dump,5225 Maumee Rd,Fort Wayne,Allen County,Superfund,SUP Other-Specify 8/26/1988,Deed Notice,1414,,29-May-02,Interceptor Wells or Trench;  Soil or Vegetative Cap; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil,Metals; Other; PAH - Polynuclear Aromatic Hydrocarbons; PCB - Polychlorinated Byphenols; VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,49717049,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=49717049
7267,7500016,Fort Wayne Reduction Dump,5225 Maumee Rd,Fort Wayne,Allen County,Superfund,SUP Other-Specify 8/26/1988,Environmental Restrictive Covenant,1415,,16-May-12,Other (Specify);  Soil or Vegetative Cap; Excavation Notice Required; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; PCB - Polychlorinated Byphenols; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,66107279,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66107279
7267,7500016,Fort Wayne Reduction Dump,5225 Maumee Rd,Fort Wayne,Allen County,Superfund,SUP Other-Specify 8/26/1988,Environmental Restrictive Covenant,1415,,16-May-12,Other (Specify);  Soil or Vegetative Cap; Excavation Notice Required; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,Metals; PCB - Polychlorinated Byphenols; SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,66107279,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66107279
7466,200507097,Hobson Road Coin Laundry & Dry Cleaner,2445 Hobson Rd,Fort Wayne,Allen County,State Cleanup,SCS No Further Action 5/27/2010,Environmental Restrictive Covenant,1418,,06-Apr-09,Paved or Concrete Cap; Residential Use Restriction,Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,46136430,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=46136430
7466,200507097,Hobson Road Coin Laundry & Dry Cleaner,2445 Hobson Rd,Fort Wayne,Allen County,State Cleanup,SCS No Further Action 5/27/2010,Environmental Restrictive Covenant,1418,,06-Apr-09,Paved or Concrete Cap; Residential Use Restriction,Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,46136430,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=46136430
7466,200507097,Hobson Road Coin Laundry & Dry Cleaner,2445 Hobson Rd,Fort Wayne,Allen County,State Cleanup,SCS No Further Action 5/27/2010,Environmental Restrictive Covenant,1419,,27-Apr-10,Other (Specify); Excavation Notice Required; Residential Use Restriction,Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,55466800,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=55466800
7466,200507097,Hobson Road Coin Laundry & Dry Cleaner,2445 Hobson Rd,Fort Wayne,Allen County,State Cleanup,SCS No Further Action 5/27/2010,Environmental Restrictive Covenant,1419,,27-Apr-10,Other (Specify); Excavation Notice Required; Residential Use Restriction,Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property; Portion of Property,,55466800,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=55466800
7493,6021001,Target Store 1911,1865 N National Rd,Columbus,Bartholomew County,VRP,VRP Other-Specify,Environmental Restrictive Covenant,1420,,21-Oct-13,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,69103069,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=69103069
7533,6100601,Peerless Cleaners,5717 COVENTRY LN,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 1/27/2011,Environmental Restrictive Covenant,63,2011000742,06-Jan-11,Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property,,60413035,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=60413035
7657,6980805,Industrial Composites,4031 Merchant Rd,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 3/9/2001,Deed Notice,1424,,14-Aug-01,Residential Use Restriction,Subsurface Soil; Surface Soil,SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,47212206,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=47212206
7657,6980805,Industrial Composites,4031 Merchant Rd,Fort Wayne,Allen County,VRP,VRP Certificate of Completion 3/9/2001,Deed Notice,1424,,14-Aug-01,Residential Use Restriction,Subsurface Soil; Surface Soil,SVOCs - Semi Volatile Organic Compounds; VOCs - Volatile Organic Compounds,Entire Property,,47212206,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=47212206
7699,6950702,Federal Mogul,516 HIGH ST,Logansport,Cass County,VRP,VRP Comfort Letter 10/11/2002,Deed Notice,677,209092,11-Oct-02,Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,66817632,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=66817632
7731,4090204,Car Doctors Auto Salvage,1004 S BURLINGTON AVE,Muncie,Delaware County,Brownfields,BFF Comfort Letter 11/11/2010,Environmental Restrictive Covenant,1425,,23-Jun-14,Agricultural or Food Crop; Residential Use Restriction,Subsurface Soil,Metals,Entire Property,,70150974,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=70150974
7751,1130,Amoco Oil Company Service Station 30987,1510 W South St,Lebanon,Boone County,LUST,LUS No Further Action 10/6/2009,Environmental Restrictive Covenant,544,2.009E+11,21-Aug-09,Maintain Vapor Mitigation System; Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,50995956,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=50995956
7819,4070456,Dominos Pizza,304 W Walnut St,Frankfort,Clinton County,Brownfields,BFF No Further Action 4/6/2009,Environmental Restrictive Covenant,860,2009-4699,10-Nov-09,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,TPH - Total Petroleum Hydrocarbons; VOCs - Volatile Organic Compounds,Entire Property,,52409168,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=52409168
7826,4070475,901 Pontiac Gas Station,901 E PONTIAC,Fort Wayne,Allen County,Brownfields,BFF No Further Action 11/29/2010,Environmental Restrictive Covenant,193,2010063178,16-Dec-10,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,VOCs - Volatile Organic Compounds,Entire Property,,60044693,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=60044693
7830,4070483,1600 Wayne Gas Station,1600 S Wayne St,Auburn,De Kalb County,Brownfields,BF No Further Action 1/27/2012,Environmental Restrictive Covenant,299,201200574,27-Jan-12,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,65505250,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65505250
7830,4070483,1600 Wayne Gas Station,1600 S Wayne St,Auburn,De Kalb County,Brownfields,BF No Further Action 1/27/2012,Environmental Restrictive Covenant,299,201200574,27-Jan-12,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,65505250,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65505250
7830,4070483,1600 Wayne Gas Station,1600 S Wayne St,Auburn,De Kalb County,Brownfields,BF No Further Action 1/27/2012,Environmental Restrictive Covenant,1426,,27-Jan-12,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,65505251,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65505251
7830,4070483,1600 Wayne Gas Station,1600 S Wayne St,Auburn,De Kalb County,Brownfields,BF No Further Action 1/27/2012,Environmental Restrictive Covenant,1426,,27-Jan-12,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,65505251,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65505251
7843,4070530,"MCCREARY CHEVROLET, GM, CHRYSLER",406 S Jackson Ave,Fowler,Benton County,Brownfields,BFF No Further Action 8/2/2008,Environmental Restrictive Covenant,884,200700000480; 200800002095,24-Oct-08,Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction,Ground Water; Subsurface Soil,PAH - Polynuclear Aromatic Hydrocarbons; Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property; Portion of Property,,37427999,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=37427999
7878,10589,Circle K 0130,414 SR 160 W,Henryville,Clark County,LUST,LUS No Further Action 1/8/2014,Environmental Restrictive Covenant,1429,,02-Dec-13,Ground Water Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,69602514,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=69602514
8051,4090308,Clarksville Marathon,1460 Broadway St,Clarksville,Clark County,Brownfields,BFF No Further Action 9/16/2009,Environmental Restrictive Covenant,842,201000831,21-Jan-10,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,PAH - Polynuclear Aromatic Hydrocarbons; TPH - Total Petroleum Hydrocarbons; Unknown; VOCs - Volatile Organic Compounds,Entire Property,,53790079,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=53790079
8128,6194,North American Van Lines Inc,5501 US Hwy 30 W,Fort Wayne,Allen County,UST,LUS No Further Action 10/19/2009,Environmental Restrictive Covenant,118,02-07-19-400-002.000; 2009041743,07-Aug-09,Paved or Concrete Cap; Agricultural or Food Crop; Other Restriction (Specify); Residential Use Restriction,Subsurface Soil,TPH - Total Petroleum Hydrocarbons,Entire Property,,50584203,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=50584203
8590,4070501,Decatur Casting Inc,822 Dayton St,Decatur,Adams County,Brownfields,BF,Environmental Restrictive Covenant,1430,,25-Jul-19,Ground Water Use Restriction,Ground Water,SVOCs - Semi Volatile Organic Compounds,Entire Property,,82818940; 82818943,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=82818940; https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=82818943
8590,4070501,Decatur Casting Incorporated,822 Dayton St,Decatur,Adams County,Brownfields,BF,Environmental Restrictive Covenant,1430,,25-Jul-19,Ground Water Use Restriction,Ground Water,SVOCs - Semi Volatile Organic Compounds,Entire Property,,82818940; 82818943,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=82818940; https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=82818943
8762,4070480,Belmont Beverage Store,1118 S Harrison St,Fort Wayne,Allen County,Brownfields,BF No Further Action,Environmental Restrictive Covenant,391,2008030512; 204092407,23-Jun-08,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,,,Entire Property,,38121971,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=38121971
8818,7500026,Northside Sanitary Landfill,881 S US Hwy 421,Zionsville,Boone County,Superfund,,Environmental Restrictive Covenant,6105,,07-Mar-18,Other (Specify);  Soil or Vegetative Cap; Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Solid Waste,Other,Portion of Property,,80628276,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80628276
8818,7500026,Northside Sanitary Landfill,881 S US Hwy 421,Zionsville,Boone County,Superfund,,Environmental Restrictive Covenant,6105,,07-Mar-18,Other (Specify);  Soil or Vegetative Cap; Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Solid Waste,Other,Portion of Property,,80628276,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80628276
8819,7500088,Third Site,985 S US HWY 421,Zionsville,Boone County,Superfund,SUP Order/Consent Decree 12/2/2002,Environmental Restrictive Covenant,1434,,15-Sep-04,Sheet Piling or Slurry Wall; Ground Water Use Restriction; Other Restriction (Specify),Ground Water; Sediment; Subsurface Soil; Surface Soil; Surface Water,VOCs - Volatile Organic Compounds,Portion of Property,,68945247,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=68945247
8823,20060,Former Amoco NO 450,1701 Allison Ln,Jeffersonville,Clark County,UST,LUS No Further Action 10/7/2013,Environmental Restrictive Covenant,1435,,18-Aug-13,Maintain Vapor Mitigation System; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum,Entire Property,,69044120,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=69044120
8860,IND980503775,ILWD Landfill Heritage Environmental Services,3415 S CR 650 E,Columbus,Bartholomew County,Hazardous Waste,HWF Closure 9/30/1994,Deed Notice,1436,,29-Dec-83,Paved or Concrete Cap,Ground Water,,Entire Property,,52858921,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=52858921
8862,6931001,Renaissance Publishing Company Incorporated,1000 Auburn Dr,Auburn,De Kalb County,VRP,VRP Certificate of Completion 5/26/2011,Environmental Restrictive Covenant,67,201101110,24-Feb-11,Agricultural or Food Crop; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil; Surface Soil,VOCs - Volatile Organic Compounds,Entire Property,,61337609,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=61337609
8868,7500011,COLUMBUS OLD CITY LANDFILL,SR 11 & SR 46,Columbus,Bartholomew County,Superfund,SUP Other-Specify 3/31/1992,Deed Notice,17,93-005393,07-Jun-93,Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction; Restricted Excavation Area,Subsurface Soil,Unknown,Entire Property,,60134683,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=60134683
8868,7500011,COLUMBUS OLD CITY LANDFILL,SR 11 & SR 46,Columbus,Bartholomew County,Superfund,SUP Other-Specify 3/31/1992,Deed Notice,17,93-005393,07-Jun-93,Soil or Vegetative Cap; Agricultural or Food Crop; Ground Water Use Restriction; Other Restriction (Specify); Residential Use Restriction; Restricted Excavation Area,Subsurface Soil,Unknown,Entire Property,,60134683,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=60134683
